coach_name,total_decisions,go_rate,dqs,odr,dqs_rank,odr_rank,seasons,archetype,go_rate_rank
Tony Sparano,573,0.1186736474694589,0.0095743935212173,0.6300174520069808,132,138,2008–2014,Conservative + Inaccurate,120
Bill Callahan,338,0.1183431952662721,0.0079070809505679,0.6449704142011834,49,116,2002–2019,Conservative + Accurate,121
Tony Dungy,1142,0.1182136602451838,0.0096171575848081,0.6418563922942206,136,121,1999–2008,Conservative + Inaccurate,122
Steve Wilks,212,0.1179245283018868,0.0094845612063923,0.6415094339622641,128,122,2018–2022,Conservative + Inaccurate,123
Tom Coughlin,1958,0.1164453524004085,0.0096025178613868,0.6419816138917263,134,120,1999–2015,Conservative + Inaccurate,124
Andy Reid,3371,0.1162859685553248,0.0083128177795821,0.6819934737466627,69,58,1999–2025,Conservative + Accurate,125
Dick Vermeil,629,0.1160572337042925,0.0091523831167054,0.6120826709062003,116,153,1999–2005,Conservative + Inaccurate,126
Jim Harbaugh,808,0.1150990099009901,0.0077220551606859,0.7116336633663366,39,26,2011–2025,Conservative + Accurate,127
Jim Fassel,656,0.1143292682926829,0.0103035302072569,0.6173780487804879,154,149,1999–2003,Conservative + Inaccurate,128
Dom Capers,511,0.1135029354207436,0.0099192666813247,0.6125244618395304,146,152,2002–2005,Conservative + Inaccurate,129
Bobby Petrino,106,0.1132075471698113,0.0083503407961019,0.660377358490566,73,93,2007–2007,Conservative + Accurate,130
Dave Campo,375,0.112,0.0107951361633663,0.6186666666666667,161,146,2000–2002,Conservative + Inaccurate,131
Marty Schottenheimer,707,0.1117397454031117,0.0094992436650695,0.6322489391796322,129,133,2001–2006,Conservative + Inaccurate,132
Lovie Smith,1588,0.1108312342569269,0.0092168155893765,0.6624685138539043,118,86,2004–2022,Conservative + Inaccurate,133
Norv Turner,1038,0.1098265895953757,0.0083607018698312,0.6637764932562621,75,85,1999–2012,Conservative + Accurate,134
Marvin Lewis,1913,0.1097752221641401,0.0086337295187275,0.6664924202822792,85,80,2003–2018,Conservative + Inaccurate,135
Mike Macdonald,246,0.1097560975609756,0.0068745988053514,0.6991869918699187,17,39,2024–2025,Conservative + Accurate,136
Nick Saban,266,0.1090225563909774,0.0088551926827921,0.6390977443609023,97,124,2005–2006,Conservative + Inaccurate,137
Chuck Pagano,745,0.1087248322147651,0.0084295591969166,0.6711409395973155,77,75,2012–2017,Conservative + Accurate,138
Jon Gruden,1611,0.1073867163252638,0.0092525077585752,0.6530105524518932,120,107,1999–2021,Conservative + Inaccurate,139
Rex Ryan,1034,0.1073500967117988,0.0090545636175364,0.6721470019342359,111,71,2009–2016,Conservative + Inaccurate,140
Mike Sherman,721,0.1067961165048543,0.0092402225084591,0.6324549237170597,119,132,2000–2005,Conservative + Inaccurate,141
Bruce Arians,967,0.1054808686659772,0.0089047814441278,0.6608066184074457,100,92,2013–2021,Conservative + Inaccurate,142
Bobby Ross,201,0.1044776119402985,0.0100621611395988,0.6517412935323383,150,110,1999–2000,Conservative + Inaccurate,143
Joe Gibbs,530,0.1037735849056603,0.009381542448589,0.6528301886792452,125,108,2004–2007,Conservative + Inaccurate,144
Jim Caldwell,814,0.1031941031941031,0.0086332063167655,0.6560196560196561,84,103,2009–2017,Conservative + Inaccurate,145
Jimmy Johnson,158,0.1012658227848101,0.0100843443412701,0.6708860759493671,151,76,1999–1999,Conservative + Inaccurate,146
Dan Reeves,589,0.100169779286927,0.0084690422083771,0.6383701188455009,78,126,1999–2003,Conservative + Accurate,147
Mike Holmgren,1258,0.1001589825119236,0.0097101136092614,0.6430842607313195,138,118,1999–2008,Conservative + Inaccurate,148
Dave Wannstedt,553,0.0994575045207956,0.008631310511088,0.6455696202531646,83,114,2000–2004,Conservative + Inaccurate,149
John Fox,2013,0.0978638847491306,0.0089774410312964,0.65424739195231,104,105,2002–2017,Conservative + Inaccurate,150
Dirk Koetter,303,0.0957095709570957,0.0088934827807887,0.6765676567656765,99,65,2016–2018,Conservative + Inaccurate,151
Butch Davis,466,0.0944206008583691,0.010005786877055,0.6137339055793991,148,151,2001–2004,Conservative + Inaccurate,152
Mike McCoy,432,0.0925925925925925,0.008794220795103,0.6851851851851852,94,53,2013–2016,Conservative + Inaccurate,153
Brian Billick,1243,0.0917135961383749,0.0098140683086198,0.6315366049879324,143,134,1999–2007,Conservative + Inaccurate,154
Mike Nolan,448,0.0915178571428571,0.0099114353594785,0.6294642857142857,145,140,2005–2008,Conservative + Inaccurate,155
Terry Robiskie,133,0.0902255639097744,0.009718422800255,0.5864661654135338,139,163,2000–2004,Conservative + Inaccurate,156
Gunther Cunningham,249,0.0843373493975903,0.009593631156382,0.6666666666666666,133,78,1999–2000,Conservative + Inaccurate,157
Mike Riley,379,0.079155672823219,0.0097648635523606,0.6649076517150396,141,83,1999–2001,Conservative + Inaccurate,158
Ray Rhodes,117,0.0683760683760683,0.0122723804666879,0.5897435897435898,166,161,1999–1999,Conservative + Inaccurate,159
