game_state_key,field_pos_bin,ydstogo_bin,score_diff_bin,time_bin,wpa_fg,wpa_go,wpa_punt,n_total,wrong_call_rate,pct_actual_go,pct_actual_punt,pct_actual_fg,optimal_decision
own_territory|short_2_3|down_one_score|late_4th,own_territory,short_2_3,down_one_score,late_4th,,-0.0012440644204616423,-0.012989764935091932,38,0.5,0.5,0.5,0.0,go_for_it
own_territory|short_2_3|down_one_score|second_half,own_territory,short_2_3,down_one_score,second_half,,,0.00532921342891789,152,0.039473684210526314,0.039473684210526314,0.9605263157894737,0.0,punt
own_territory|short_2_3|down_one_score|two_min_drill,own_territory,short_2_3,down_one_score,two_min_drill,,0.0034126033119502813,,21,0.0,1.0,0.0,0.0,go_for_it
own_territory|short_2_3|tied|4th_quarter,own_territory,short_2_3,tied,4th_quarter,,,0.03670367878693784,63,0.031746031746031744,0.031746031746031744,0.9682539682539683,0.0,punt
own_territory|short_2_3|tied|early_game,own_territory,short_2_3,tied,early_game,,0.013703600926832664,-0.0013580719870353614,832,0.9867788461538461,0.013221153846153846,0.9867788461538461,0.0,go_for_it
own_territory|short_2_3|tied|late_4th,own_territory,short_2_3,tied,late_4th,,,0.048634228938739865,32,0.03125,0.03125,0.96875,0.0,punt
own_territory|short_2_3|tied|second_half,own_territory,short_2_3,tied,second_half,,,0.01304027357507475,87,0.0,0.0,1.0,0.0,punt
own_territory|short_2_3|tied|two_min_drill,own_territory,short_2_3,tied,two_min_drill,,,-0.11011349510880744,21,0.047619047619047616,0.047619047619047616,0.9523809523809523,0.0,punt
own_territory|short_2_3|up_big|4th_quarter,own_territory,short_2_3,up_big,4th_quarter,,,-0.009834711176614856,127,0.007874015748031496,0.007874015748031496,0.9921259842519685,0.0,punt
own_territory|short_2_3|up_big|early_game,own_territory,short_2_3,up_big,early_game,,,-0.008826432256660046,120,0.008333333333333333,0.008333333333333333,0.9916666666666667,0.0,punt
