coach_name,total_decisions,dqs,odr,go_rate,punt_rate,fg_rate,mean_wp,seasons,dqs_rank,odr_rank
Todd Haley,395,0.00907722898520963,0.6253164556962025,0.16455696202531644,0.6683544303797468,0.1670886075949367,0.41983567999911037,2009–2011,112,142
Jeff Saturday,64,0.009084562862266266,0.71875,0.265625,0.453125,0.28125,0.45984977215948675,2022–2022,113,20
Dick LeBeau,360,0.009109550277752848,0.6055555555555555,0.18611111111111112,0.65,0.1638888888888889,0.3376234427677041,2000–2002,114,155
Doug Marrone,818,0.009119292111811445,0.6601466992665037,0.13447432762836187,0.6332518337408313,0.23227383863080683,0.44699577565586457,2013–2020,115,94
Dick Vermeil,629,0.009152383116705475,0.6120826709062003,0.11605723370429252,0.6391096979332274,0.24483306836248012,0.5398998339639359,1999–2005,116,153
Brian Daboll,554,0.009165645702500896,0.6805054151624549,0.2328519855595668,0.5649819494584838,0.20216606498194944,0.3765924917905041,2022–2025,117,59
Lovie Smith,1588,0.009216815589376573,0.6624685138539043,0.11083123425692695,0.6668765743073047,0.22229219143576825,0.47150358275703463,2004–2022,118,86
Mike Sherman,721,0.009240222508459192,0.6324549237170597,0.10679611650485436,0.6477115117891817,0.24549237170596394,0.5258532602658533,2000–2005,119,132
Jon Gruden,1611,0.009252507758575274,0.6530105524518932,0.10738671632526381,0.6511483550589696,0.2414649286157666,0.4965481279876817,1999–2021,120,107
Jim Schwartz,610,0.009257390100754994,0.6754098360655738,0.13278688524590163,0.6459016393442623,0.22131147540983606,0.4037965085191758,2009–2013,121,66
Dave McGinnis,428,0.009319945151270867,0.6144859813084113,0.15186915887850466,0.677570093457944,0.1705607476635514,0.33884410677261717,2000–2003,122,150
Jack Del Rio,1414,0.009351583334834731,0.6598302687411598,0.15983026874115983,0.6202263083451203,0.21994342291371993,0.4561318116930548,2003–2017,123,95
Rod Marinelli,360,0.009373136332195572,0.6305555555555555,0.14166666666666666,0.6166666666666667,0.24166666666666667,0.34919267169591167,2006–2008,124,136
Joe Gibbs,530,0.009381542448589086,0.6528301886792452,0.10377358490566038,0.6924528301886792,0.2037735849056604,0.46896933160039234,2004–2007,125,108
Josh McDaniels,390,0.009476183862437539,0.6615384615384615,0.17692307692307693,0.5769230769230769,0.24615384615384617,0.41069518765706803,2009–2023,126,90
Herm Edwards,979,0.009479598876764419,0.6384065372829418,0.12257405515832483,0.6424923391215526,0.23493360572012256,0.4425444606016057,2001–2008,127,125
Steve Wilks,212,0.009484561206392319,0.6415094339622641,0.1179245283018868,0.7169811320754716,0.1650943396226415,0.40613314107783716,2018–2022,128,122
Marty Schottenheimer,707,0.009499243665069532,0.6322489391796322,0.11173974540311174,0.6803394625176803,0.2079207920792079,0.5031725712127457,2001–2006,129,133
Pat Shurmur,502,0.009519718970030478,0.647410358565737,0.1593625498007968,0.6374501992031872,0.20318725099601595,0.3944262997086147,2011–2019,130,112
Darrell Bevell,54,0.009531768072885123,0.5370370370370371,0.2037037037037037,0.5555555555555556,0.24074074074074073,0.2921219712464976,2020–2021,131,167
Tony Sparano,573,0.009574393521217308,0.6300174520069808,0.11867364746945899,0.6474694589877836,0.2338568935427574,0.4573084074441798,2008–2014,132,138
Gunther Cunningham,249,0.00959363115638205,0.6666666666666666,0.08433734939759036,0.7228915662650602,0.1927710843373494,0.47012993661793373,1999–2000,133,78
Tom Coughlin,1958,0.009602517861386802,0.6419816138917263,0.11644535240040858,0.6435137895812053,0.24004085801838612,0.4913941041168473,1999–2015,134,120
Vince Tobin,198,0.009611089085797562,0.6363636363636364,0.15151515151515152,0.6414141414141414,0.20707070707070707,0.34969207566374666,1999–2000,135,128
Tony Dungy,1142,0.009617157584808135,0.6418563922942206,0.11821366024518389,0.6217162872154116,0.2600700525394046,0.5342098809896397,1999–2008,136,121
Rich Bisaccia,86,0.009675512590718997,0.6046511627906976,0.13953488372093023,0.5,0.36046511627906974,0.5474051119887675,2021–2021,137,156
